sku,navn,type,leverandor,merke,serie,kategori,nåpris,førpris,farge,tekstil,bredde_cm,høyde_cm,sittehøyde_cm,sittedybde_cm,url
331712,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,18332,,Grønn,Moor 71 Lys grønn,202,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-9
331713,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,16000,,Beige/natur,Aragon 08 Lys Beige,208,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-10
331715,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,16000,,Grønn,Aragon 38 Mose,208,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-12
331718,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,18332,,Brun,Moor 45 Brun,208,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-15
331719,Weston,3 seter,Dominari Grupe UAB,,WESTON,3 seter,18332,,Grønn,Moor 71 Lys grønn,208,82,48,58,https://checkout.bohus.no/sofa/3-seter/weston-3-seter-sofa-16
328228,Weston,4 seter,Dominari Grupe UAB,,WESTON,4 seter,23332,,Beige/natur,Moor 30 Cream,264,80,46,58,https://checkout.bohus.no/sofa/4-seter/weston-4-seter-sofa
317734,Vilmers Nordstrand,4 seter med sjeselong XL,Vilmers,Vilmers,NORDSTRAND,4 seter,41767,,Hvit,Diopsid Latte,319,79,45,60,https://checkout.bohus.no/sofa/4-seter/nordstrand-4-seter-sofa-med-sjeselong-xl-22
318570,Vilmers Nordstrand,4 seter med sjeselong XL,Vilmers,Vilmers,NORDSTRAND,4 seter,41767,,Brun,Tin Mocca,319,79,45,60,https://checkout.bohus.no/sofa/4-seter/nordstrand-4-seter-sofa-med-sjeselong-xl-17
310429,Bohus Exclusive by Storm Storm Makanda,4 seter med sjeselong,Vilmers,Bohus Exclusive by Storm Storm,MAKANDA,4 seter,36267,45334,Beige/natur,Lagoon Sand,318,78,43,59,https://checkout.bohus.no/sofa/4-seter/makanda-4-seter-sofa-med-sjeselong-1
310430,Bohus Exclusive by Storm Storm Makanda,4 seter med sjeselong,Vilmers,Bohus Exclusive by Storm Storm,MAKANDA,4 seter,36267,45334,Beige/natur,Palazzo Stucco,318,78,43,59,https://checkout.bohus.no/sofa/4-seter/makanda-4-seter-sofa-med-sjeselong-2
310449,Bohus Exclusive by Storm Storm Makanda,4 seter med sjeselong,Vilmers,Bohus Exclusive by Storm Storm,MAKANDA,4 seter,36267,45334,Beige/natur,Palazzo Stucco,318,78,43,59,https://checkout.bohus.no/sofa/4-seter/makanda-4-seter-sofa-med-sjeselong-5
310458,Bohus Exclusive by Storm Storm Makanda,4 seter med sjeselong,Vilmers,Bohus Exclusive by Storm Storm,MAKANDA,4 seter,36267,45334,Beige/natur,Lagoon Sand,318,78,43,59,https://checkout.bohus.no/sofa/4-seter/makanda-4-seter-sofa-med-sjeselong
277633,IMG Melby,4 seter med sjeselong,"IMG avd Skandinavia, Ekornes AS",IMG,MELBY,4 seter,39630,,Beige/natur,Adele 101 Ivory,278,80,44,53,https://checkout.bohus.no/sofa/4-seter/melby-4-seter
317728,Vilmers Nordstrand,4 seter med sjeselong XL,Vilmers,Vilmers,NORDSTRAND,4 seter,25060,41767,Brun,Dolomite Aluminium,319,79,45,60,https://checkout.bohus.no/sofa/4-seter/nordstrand-4-seter-sofa-med-sjeselong-xl-1
317729,Vilmers Nordstrand,4 seter med sjeselong XL,Vilmers,Vilmers,NORDSTRAND,4 seter,25060,41767,Brun,Dolomite Driftwood,319,79,45,60,https://checkout.bohus.no/sofa/4-seter/nordstrand-4-seter-sofa-med-sjeselong-xl-2
