varenummer,navn,variant,leverandor,kategori,nåpris,førpris,rabatt_prosent,ean,lev_varenummer,url,kampanje,antall_varianter
121114,Rossilini 4-seter sofa,Rossilini 4-seter sofa,,Alle produkter/Alle sofaer/Sofa/,12999.0,24799.0,48.0,7050733737226,1778748,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossilini-4-seter-sofa/?VariationId=V_5637599294,False,16
121130,Rossilini 2-seter med XL sjeselong venstre,Rossilini 2-seter med XL sjeselong venstre,,Alle produkter/Alle sofaer/Sofa/,16999.0,32999.0,48.0,7050733737387,1778764,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossilini-2-seter-med-xl-sjeselong-venstre/?VariationId=V_5637599311,False,32
120075,Sagrado 3-seter XL med åpen ende venstre,Sagrado 3-seter XL med åpen ende venstre,,Alle produkter/Alle sofaer/Sofa/,39999.0,76999.0,48.0,7050733719109,1778570,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/sagrado-3-seter-xl-med-apen-ende-venstre/?VariationId=V_5637587079,False,20
119394,Rossi U-sofa,Rossi U-sofa,,Alle produkter/Alle sofaer/Sofa/,49999.0,95699.0,48.0,7050733631906,1774784,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-u-sofa-119394/?VariationId=V_5637569936,True,12
119484,Roma hjørnesofa,Roma hjørnesofa,Furninova,Alle produkter/Alle sofaer/Sofa/,29749.0,56929.0,48.0,7050733619744,2445259,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/roma-hjornesofa/?VariationId=V_5637580481,True,65
117792,Monaco Lux 3-seter med XL sjeselong,Monaco Lux 3-seter med XL sjeselong,,Alle produkter/Alle sofaer/Sofa/,21999.0,41999.0,48.0,7050733569292,1776736,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-3-seter-med-xl-sjeselong/?VariationId=V_5637555065,True,24
117784,Monaco Lux 3-seter sofa,Monaco Lux 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,13999.0,27099.0,48.0,7050733568974,1776704,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-3-seter-sofa/?VariationId=V_5637555030,True,12
117107,Rossi Lux 3-seter sofa,Rossi Lux 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,15999.0,30699.0,48.0,7050733558531,1777013,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-lux-3-seter-sofa-117107/?VariationId=V_5637550584,True,11
117162,Rossi 4-seter sofa,Rossi 4-seter sofa,,Alle produkter/Alle sofaer/Sofa/,17999.0,34299.0,48.0,7050733557299,1776889,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-4-seter-sofa-117162/?VariationId=V_5637551985,True,11
117169,Rossi Lux 4-seter sofa,Rossi Lux 4-seter sofa,,Alle produkter/Alle sofaer/Sofa/,17999.0,34299.0,48.0,7050733558678,1777027,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-lux-4-seter-sofa-117169/?VariationId=V_5637552076,True,11
116208,Denver 2-seter TV sofa,Denver 2-seter TV sofa,,Alle produkter/Alle sofaer/Sofa/,11999.0,22999.0,48.0,7050733404326,2977518,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/denver-2-seter-tv-sofa/?VariationId=V_5637516589,True,5
115969,Oslo Plus 2-seter,Oslo Plus 2-seter,,Alle produkter/Alle sofaer/Sofa/,5849.0,11299.0,48.0,7050733404371,1391500,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/oslo-plus-2-seter/?VariationId=V_5637501161,True,8
114815,Lugo hjørnesofa,Lugo hjørnesofa,,Alle produkter/Alle sofaer/Sofa/,12999.0,24999.0,48.0,7050733381061,1021900,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/lugo-hjornesofa/?VariationId=V_5637458942,True,9
113952,Portland hjørnesofa,Portland hjørnesofa,,Alle produkter/Alle sofaer/Sofa/,6999.0,12129.0,42.0,7050733357226,1021821,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/portland-hjornesofa/?VariationId=V_5637457368,True,38
113860,Stockholm sofa,Stockholm sofa,,Alle produkter/Alle sofaer/Sofa/,13999.0,26699.0,48.0,7050733320442,1390700,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/stockholm-sofa/?VariationId=V_5637445330,True,7
119909,Brooklyn 2-seter sjeselong,Brooklyn 2-seter sjeselong,,Alle produkter/Alle sofaer/Sofa/,12999.0,24499.0,47.0,7050733687842,1395010,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/brooklyn-2-seter-sjeselong/?VariationId=V_5637584111,False,18
119446,Rossi Lux U-sofa,Rossi Lux U-sofa,,Alle produkter/Alle sofaer/Sofa/,49999.0,93499.0,47.0,7050733633108,1774904,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-lux-u-sofa/?VariationId=V_5637571344,True,6
